quote,author,emotion
No man chooses evil because it is evil,Sasuke Uchiha,general
"Losing something is sad. Even when I lose something as tiny as a worn-out eraser, I feel pretty down for a day or two. That's why I'm looking for him.",Komari Kamikita,depression
"There are all sorts of mysteries in this world, like snacks and candy and sweets falling from the sky!",Komari Kamikita,general
"If this world continues to reject me, then I shall reject the world.",Zeref,general
"""... Although this won't happen instantly, as long as you have the thought, you will have a chance. Because at the moment you want to change, you have already taken the first step to changing.""",Tachibana Hotaru,mindfulness
Luxury means something with no meaning at all,Souhei Saikawa,general
"For me, despair is not a goal, or a set of principles, or a lifestyle, or even an instinct... It's what defines me as Junko Enoshima! It's just my characterization! That's why I'm able to pursue despair with such purity!",Junko Enoshima,depression
It doesn't matter how much trash you pick up. You just have a pile of trash.,Kyouya Sata,general
Is that all your feelings have to offer? Go ahead. Try to wrench open my heart. That's the only way you'll get me.,Kyouya Sata,love
"When I'm away from you, even though I can't be around crowds, I want to go see you.",Gin,general
"Even if the questions change, it makes no difference to me.",Karma Akabane,general
But the big difference is who I work for. I'd rather die than be a yes-man to someone I don't even like.,Shalnark,motivation
"Fear is ""evil"", it tells your weakness. If you can know your weakness, people become strong and gentle. ",Gildarts Clive,anxiety
The closest thing to being cared for is to care for someone else.,Kotori Itsuka,love
"""Why must everyone make such a fuss over the death of a single soldier? The moment a soldier dons his uniform, he accepts the reality that he might be buried in it.""",King Bradley,grief
"Even if people refuse to accept you, it doesn't change the fact that I accept you and don't want you to leave.",Shido Itsuka,general
It isn't even interesting fighting against someone who doesn't have their own goals.,Zaraki Kenpachi,motivation
"You've finally realized that the one thing you want, something greater than money, it can never be yours.",Yato,general
"You can't do anything about what doesn't exist. In the end, humans have to settle for what's in front of them.",Kyon,general
Forgiveness is the only way to end the war.,Yūya Sakaki,general
Smiles are what connect people! It allows them to communicate through their souls! Connected souls will never lose to the strength that only relies on control! Dueling is the same! Only strength alone doesn't speak to anyone's soul!,Yuzu Hiiragi,grief
"Do they love you, or the mask you put every day?",Shido Itsuka,love
Nobody can make someone who isn't trying to be happy into someone that's happy,Tsubasa Hanekawa,happiness
"The moment you put it into words and tell someone, it starts to diverge from your feelings. Words are nothing but lies and nothing but cheats. No matter what the truth, the moment it is told, it becomes dramatized.",Deishū Kaiki,wisdom
Hatred will never be erased! The only thing you can do is erase the ones you hate!,Hakuryū Ren,general
Seasons change just like the passing of time. We all have out destines and then we must move. That's they way it has always been.,Clow Reed,general
The world isn't something that is all planned out. It's something you make yourself. ,Yuuko Ichihara,general
 I can conquer the world with one hand as long as you are Holding the other,Sora,general
"There’s no reason to pretend to be cool. Let’s show our lame sides. That’s who we really are, after all.",Hidenori Tabata,general
Learning and copying are the same.  Everyone starts out copying someone else. Every last person. ,Yumi Iguchi,wisdom
"Of course, if you lose in fighting it'd be a problem, but it's also a problem if you lose in character",Togame,general
"That's right! Whatever the tragedy or the blunder is, only the things that actually happened are written in stone!",Donquixote Doflamingo,general
The weaker person is the more he gets hung up on other people's pain and then he self-destructs,Donquixote Doflamingo,grief
"That's ridiculous. People usually have a stereotypical idea, or an assumption like that and that's what creates a blind spot",Donquixote Doflamingo,general
"In this small universe, it's an endless cycle of winning and losing until you begin losing your mind.",Rei Kiriyama,mindfulness
Physical wounds will definitely bleed and may look painful ,Yashamaru,grief
A real man never goes back on his words!,Taiyou Natsuki,general
No one knows what the future holds in life.  We must take that endless bit of darkness and turn it to our advantage.  ,Higuchi Seitarou,depression
"What is right... what is wrong... you can't easily tell the difference. That's why you must keep thinking, whether what you are doing is right or not. That act itself, alone, can be called right.",Koutarou Amon,grief
People live to save themselves. ,Sakunosuke Oda,general
"Be on the Side that saves people, if both sides are the same, become a good man. ",Sakunosuke Oda,general
"Don't believe in the me that believe in you, don't believe in the you that believes in me, believe in yourself who believes in you! ",Kamina,hope
Advantages and disadvantages come hand in hand. That is inevitable,Dio Brando,depression
"Yes, we have no destiny. Only those swallowed up by ignorance and fear who take false steps, shall plunge us into the waters called “destiny”. ",Kisuke Urahara,anxiety
"As long is you still draw breathe, there is no way to escape having to bid others farewell.  It doesn't matter if you're human or not...we all have to say good-bye.",Yasaburou Shimogamo,mindfulness
"When saying good-bye to this world, our great father split his blood into four: the eldest inherited only his sense of responsibility, the second eldest inherited only his easygoing personality, the youngest inherited only his innocence, and me, well, I inherited only his idiocy.  What held us diverse brothers together was the love of our mother, deeper than the sea, and the farewell we bid our great father.  Sometimes, one profound separation can unite the ones left behind.  ",Yasaburou Shimogamo,love
Haven't you ever thought that life would be better if it was a game?,Dong Taebin,mindfulness
Game!? Is life a game to you?...Life is not a game!!,Dongtae,general
"Stand up! lift your faces! Take up your weapons! Look at that boy. He's so weak and fragile a breath could blow him away and he's unarmed! He is a powerless boy, whose defeat I have seen with my own eyes! He's weaker than anyone else here! Yet he's shouting louder than anyone that we can still do this so how can we sit down, with downcast gaze? If our weakest man has not given up how is kneeling in defeat acceptable for us? Did you come this far to wallow in shame? ",Crusch Karsten,mindfulness
"I wanted to tell you that… Wherever you may end up in this world, I will be searching for you.",Taki Tachibana,general
Why does the scenery of a town that no longer exists wring my heart so?,Taki Tachibana,love
"If I suddenly showed up, would I bother him? Surprise him? There’s no way we could meet. But what if we did? What should I do? Would I annoy him? Would it be awkward? Or maybe… He’d be a bit glad to see me?",Mitsuha Miyamizu,general
"Once in a while when I wake up, I find myself crying. The dream I must’ve had, I can never seem to recall...But the sensation that I’ve lost something lingers for a long time after I wake up.",Taki Tachibana,grief
Treasure the experience. Dreams fade away after you wake up.,Hitoha Miyamizu,motivation
"I can't surpress my feeling anymore. When she gets confused, I will still her back. Yes I know I am selfish, I don't care. ",Kou Mabuchi,love
Your unconditional trust is more than I'm willing to bear.,Hachiman Hikigaya,hope
"""Isn't it okay? Even if you and someone meet for just a moment, that moment passes by...You might meet again somewhere, isn't that okay?""",Lebanon,general
But maybe life isn't about counting all the things you've lost.,Tsukamoto Tsukushi,grief
Nobody thinks they're cuter than others unless they're conceited.,Maki Nishikino,mindfulness
"Hotaru, do you think the day will come that I'll lose it (the ability to see spirits) as well?  A one-sided visit and troublesome days...is that freedom? or...At that time, a small firefly (Hotaru) passed by and whispered something to me.  But I could not understand the words of a bug.  Farewell, Hotaru.  I wonder if that person understood...just that person.",Takashi Natsume,mindfulness
"We probably are.  I can't explain it very well, but it seems that lately it doesn't matter, human or spirit.  If your hearts touch, it's the same thing.  When you're all alone, you get lonely, and the first step is always scary.",Natsume Takeshi,grief
"People who’ve had lots of failures talk about those failures as if to imply that if they have another life, they’ll be a big success. After facing all that hardship, they think they won’t mess up again. But they’re all - me included, of course - making a fundamental mistake. Failures know a lot about failure, sure. But knowing failure is completely different from knowing success. Fixing your mistakes doesn’t mean success takes their place - you’ve just got a point to start at, is all. That’s something failures don’t understand.",Three Days of Happiness,motivation
"""If you close down the way to your own path, it will always open up. That's why this isn't a song of ending. It is a new encounter. A song of beginning.""",Kahoko Hino,general
"I really do like you. You pissed me off, so I considered giving up for a minute, but I'd never lie about my feelings. So I won't quit. Even if you don't believe me now, I'll keep saying it until you do! I'll keep trying! This isn't over!",Erika Shinohara,hope
Better to ask and be a fool once than never to ask and be a fool forever.,Yumi Iguchi,hope
"There is great value in the time spent in ones own company, but a life time of total isolation is a fate no one should endure.",Makarov,general
I won't be defeated because I know how awful it feels to lose after doing my very best!,Shō Kazamatsuri,general
"If you're alone... if it's just your life, you can use it however you please/ Wear yourself out, get cut to ribbons, doesn't matter. But when there's two, the blade grows heavy. Fighting like death doesn't concern you becomes a thing of the past. It's no longer just you. I threw away my way of life, relied on the strength of others, and somehow pushed on.",Guts,grief
Every phenomenon that happens in the human world is caused by people for their own convenience.,Takano Miyo,general
The scars that you can't see are the hardest to heal.,Nao Tomori,resilience
"You can run from your past all you want, but it will always follow you. Forever and ever and ever and ever.",Izaya Orihara,general
"Having too many bonds causes one to lose focus, weakening their strongest wish, their greatest desire. ",Sasuke Uchiha,general
"The moment people come to know love, they run the risk of carrying hate.",Obito Uchiha,love
There are times like that music can convey more than words. ,Kunio Yaobi,general
Trying to improve by learning from others that is what calls friendship.,Shino Aburame,wisdom
"Freedom is something that you need to actively acquire. It's not something that's given with no strings attached. To be free means to take responsibility, and to prepare yourself for what's to come.",Charles Beams,general
"All people are nothing but tools. It doesn't matter how it's done. It doesn't matter what needs to be sacrificed. In this world, winning is everything. As long as I win in the end...That's all that matters.",Kiyotaka Ayanokouji,general
Evil expects evil from others.,Osamu Dazai,general
It's not bad to dream. But you also have to consider what's realistic. ,All Might,motivation
Humans are creatures that always get hurt and feel regret whenever they make a choice on something. ,Glenn Radars,grief
"This epidemic leads innocent people to their deaths, and yet it's pathogen will never be eradicated. This is a disease called serenity, a form of death that people have wished for.",Rikako Oryo,grief
"A sword wields no strength, unless the hand that holds it has courage. ",Link,resilience
"Things would have been so much better back then... If we had heard each other's voices. I hate myself. I was selfish, and I never thought about anyone else's feelings. Since then, my classmates have all looked down on me. I've lived for seventeen years, and I haven't lived one of them as a good person. The only time I heard your voice was when we got into that fight. And what pisses me off the most is the fact that I haven't changed at all since back then! But.,. But now, I think I can understand what you were saying... Nishimiya. Me and you... Can we be... friends? Shit!! I went way too far!! I was just gonna apologize and get out of here! Why the hell did I end up asking her to be friends?... Why did I even say that?! Jeez, that's so embarrassing! How can you even say that? ",Shouya Ishida,mindfulness
"Just your touch... gets me excited. It makes me so happy. But those feelings will all turn into pain. The happier I am now, the more it'll hurt. I know how cruel this is... but no matter how hard I try, I can't rid myself of this. Nejima-kun... I... don't know... what love is.",Takasaki Misaki,grief
"*to Jyugo* You're such a gloomy Gus, aren't you? You're so gloomy, indecisive, and so pessimistic. You're also dull, have bad handwriting, can't learn, insensitive, weak, a slow runner, a poor talker, and a poor liar. You really can't do anything other than break out of jail. Also you have short legs. But... that means you have lots of character traits, right? That's all you need to know for now, don't you think? If you don't know something, we'll teach you. We're gonna make your life more fun. It doesn't matter whether we're in jail or hell. If we live happily, we win. So let's take it slow and make sure you'll enjoy tomorrow.",Uno,mindfulness
"Back then, if we could have have heard each other's voices, everything would have been so much better.",Shouya Ishida,hope
"Even though you like someone already, your partner is decided for you... and you can't do anything about that crush. Because everyone keeps getting in the way... and saying you can't... But... when you're the one in love... the only thing that feels true... is that feeling.",Nejima Yukari,love
There's more to a real man than just his good looks!,Uno,general
"If I'm going to disappear no matter what, I at least want to leave them having fun and smiling.",Yoake Ryou,general
"If you take someone at puberty, a teen... introduce him or her to a member of the opposite sex around the same age and say, ""This is the person who was meant for you""... and then go on to spend a lot of time together... why wouldn't you fall for them?",Nisaka Yuusuke,general
I want you to please understand the scales of my heart will always be swaying back and forth. But there is something you should know. I will never lean to one side or the other due to the weight of gold coins.,Horo,love
"Even though everything is going to disappear, it isn't supposed to be meaningless. It's exactly because you know you're going to part ways, that now and only now is your only chance.",Onoya An,general
"I don't really want you to understand... I just don't want you to be like, 'Oh, is that all'? I don't need people to get it. These feelings... are important to me, and they're just for me.",Takasaki Misaki,wisdom
It's a programmer's job to make the most of limited resources to turn an impractical idea into reality.,Akasaka Ryuunosuke,general
"Making sure I have no regrets... that would just be self-serving, nothing more. It's all right. I mean, this is a great memory in itself, right?",Maiko Shuu,general
There are things I don't want to forget... Memories of time spent with friends. Memories of time spent with her alone. Memories are important. But there's something even more important... That's to continue making memories.,Yūki Hase,grief
"I have no fear of watching you grow old while I remain young. I'll even watch you on your death bed. I am no stranger to death. But your heart is like that of an innocent child. It has always accepted everything about me, without hesitation. Because of that I am very afraid.",Horo,grief
"I yearn for true gender equality. I have no patience for one who talks about female privilege when it suits them, and then complains about someone ""not being a man"" when it's convenient.",Kazuma Satou,general
"But... If you're the kind of person who can devote herself like that to someone, then I'll bet you anything there's someone out there who'll fall in love with you.",Ichijou Raku,love
"Yeah, if I saw her smiling to herself while reading this, I might think it was creepy. But there's something wrong with people who talk trash and laugh behind another's back, too.",Shougo Kiryuu,mindfulness
"Stop pouting! You learned something valuable. Remember the lesson, not the disappointment.",Horo,wisdom
"You're right. Whether I ever see that girl again or not, that doesn't change the fact that this promise is important to me. I'm gonna go on treasuring it.",Ichijou Raku,general
Lies are told prevent yourself from getting hurt.,Kamiyama,grief
I believe that there's not a single person whose heart is evil.,Kanzaki Nao,love
What is love?,Takasaki Misaki,love
I do not want to wake from my dream and discover that I am all alone. I am tired of being alone! I do not want to be cold! I do not want to be lonely!,Horo,grief
People don't fall in love based on looks. And that's a scientific fact.,Ichijou Kagetsu,love
The ones who accomplish something are the fools who keep pressing onward. The ones who accomplish nothing are the wise who cease advancing.,Celica Arfonia,general
"I am Horo the Wise Wolf, and I am a very proud wolf.",Horo,general
"Just walk the path you believe in. And don't forget, you're the main character of your own life story!",Glenn Radars,hope
"I am not so grand, not as a god. I am Horo, and Horo is all that I am.",Horo,general
"To hell with living a life of revenge, I'm me! I live for myself! You're not my sworn enemy or anything else. You're nothing but a putrid demon!",Favaro Leone,general
Explosion!!!,Megumin,general
"The only one who can decide your worth.. is you. If you want to earn something, you need to reach out for it. Pro-athletes give up their teenage years to train. Business owners put up collateral to borrow money. That's how it always works. To make your ambitions come true, you have to take risks. The larger the ambition the greater the risk. That might involve time or enough work to affect your lifespan... So make your choice. Live in peace as a wannabe or risk losing it all to reach the very top. You're the one who needs to decide.",Jabami Yumeko,motivation
Who'd want to date girls that talk smack about your friends?,Makoto Sunakawa,general
"I have so many things I want to say, so many things I want to ask you, but... When I see your face... None of that matters anymore!",Esdeath,general
"The amount of money one owns ultimately decides the victor. This doesn't stop within the walls of a casino, or it's cash flow. It's a rule that forms the basis for a capitalist society!",Jabami Yumeko,general
The lifespan of a human is certainly way too short. That's why you've got to make the most of it and live your life to the fullest.,Leone,general
"It's true that you're lacking in ability. That's because you don't work at it. However, you have a natural potential. That's why I chose you.",Koichiro Oota,motivation
"Enjoy your life today. Yesterday is gone, and the tomorrow might never come.",Takeshi Yamamoto,happiness
"Why do I want to win so much...? Everyone takes up soccer for different reasons. But we all have a passion for the sport... That drive carries us through a game, even if we lose. If we win, it pushes us forward to the next game. The winners of the game honour the losers by playing with everything they have... and until we hit a wall, until a better team beats us, we should try our best, instead of running away. That's what I want to do!",Shō Kazamatsuri,motivation
"I want to reply with a long message, but if it's too long, that might be kind of revolting. But if it's too short, then I might come off as cold instead. Feeling apprehensive of what to do, I decided to reply back with a similar word count instead. This was what they called ""mirroring"" in psychology. By emulating the actions of the other party, your affection levels would increase!",Hachiman Hikigaya,love
A road is something that you make yourself.,Jotaro Kujo,general
"If what I wished for was granted to me, if what I wanted was given to me. Then, as I thought, I wouldn't wish for anything nor want anything. Because the things you were granted and the things you were given were surely shams that would one day be lost. ",Hachiman Hikigaya,grief
"It' because you were embarrassed, frustrated, bitter, and jealous. If there's a time when those ill feelings surfaced, then there's also going to be a time where you restrained yourself, smiled, and then cut your relationships afterwards.",Hachiman Hikigaya,happiness
I don't think I'll learn anything if I don't try to do something about it on my own.,Hishiro Chizuru,mindfulness
"If you've got energy to spend on feeling guilty, then use it to show your gratitude.",Yuuji Kazami,motivation
"To realize a mistake. To not lie. To love one another. To not kill. Those are very simple things, but these times won't allow for them. There is no green on this planet, even though we want it... though we want it so badly. A place where we can live peaceful days with no wars nor stealing. A sacred place where people can live as people. Yes there, that place is called Paradise.",Vash the Stampede,mindfulness
"Compared to failing without even trying, I'd rather take action, even at the risk of a mistake.",Yuuji Kazami,resilience
"No matter what you're doing, the most essential thing is to not give up. Fail as many times as it takes. Keep trying persistantly untill you can call yourself 'avarage'. If you can collect a nice group of avarage-level skills, that's already above-avarage. You've created your own sort of 'talent'.",Yuuji Kazami,resilience
"It's easy to say ""choose so that you'll have no regrets,"" but that's impossible. No matter how hard you've agonized over your path, you'll always regret something about it later. That's just how we humans are made. Which is why I think our true feelings are important. If you choose your path based on your true feelings, it'll hurt just a little less when you feel the same regret, right?",Glenn Radars,grief
"Someone told me this: ""Nothing is ""forever"" in human relationships"". That might be true, but it sounds awfully lonely. But I realized today... If there really is no such thing as ""forever""... Then having someone important is the happiest thing one can attain in life.",Yukino Miyashita,grief
"Instead of judging others based on rumors and gossip articles, I must look and feel for myself. You cannot know anyone without coming face-to-face with them.",Haine Wittgenstein,general
"If at some point in life, you made a mistake or keep failing over and over again, and you can't help but think it's useless and you're a good for nothing",Hishiro Chizuru,resilience
 Success is harder than failure for many things in this world.,Osamu Dazai,motivation
You're wrong. It's not the world that's messed up,Kaneki Ken,general
"Even if we walk on different paths, one must always live on as you are able! You must never treat your own life as something insignificant! You must never forget the friends you love for as long as you live! Let bloom the flowers of light within your hearts.",Erza Scarlet,love
There is no such thing as truth in this world. That is our reality. Anyone can become a God or a Devil. All it takes is for someone to claim that to be the truth.,Eren Kruger,wisdom
"Those who forgive themselves, and are able to accept their true nature... They are the strong ones!",Itachi Uchiha,general
"People's lives don't belong to anyone. Anyone, except themselves. But people have a path. The path of how to use that life.",Ei Sei,general
"Unfortunately, I don't have a nice eyeball like you, that can see this and that. All I can do to pursue one thing in front of me. So whether it's the abyss of death or an empty void, I won't fight for the manju offered to my grave. I'll fight for tomorrow's breakfast. That's all.",Gintoki Sakata,grief
You shouldn't judge something without trying it first. Having a variety of experiences is what makes life worth living.,Leticia Draculair,wisdom
"Well it's not like the world is full of sunshine and daisies. If society was only shaped by the view that one must be happy-go-lucky all the time, Hollywood wouldn't make tear-jerking movies, would they? ",Hachiman Hikigaya,happiness
"There isn't anything that's evil to everyone. Even the worst evil saves something. On the other hand, even the greatest good hurts someone. The phrase ""There are no absolutes in this world"" means there isn't any absolute good or absolute evil.",Rouka Numachi,grief
"Being angry consumes energy and makes me tired. So I'd rather apologize, even if I'm not at fault. Besides, we get along, and we both want to stay friends. Prolonging an awkward situation out of stubbornness is just silly.",Tanaka,depression
"You're absolutely right. I can't do anything alone.  Everyone has their flaws and imperfections, but that's what drives us to work together... To make up for those flaws. Together, we make the perfect main character. ",Gintoki Sakata,grief
Miracles are illusions caused by insufficient observation and understanding. They're just... glorious misunderstandings.,Tanya Degurechaff,wisdom
"Smile. Not for anyone else, but for yourself. Show yourself your own smile. You'll feel better then.",Rintarou Tatewaki,happiness
"Every day, the words cross my mind.  ""If I had done this back then..."" but they don't take the sincere form of regret.  The words are just an excuse that come to my mind then disappear.",Satoru Fujinuma,mindfulness
"I'd talk, but... I fell into the habit of not saying what I really felt, somewhere along the way. And then I started believing that there wasn't anything... that I really wanted to tell anyone.",Sakagami Takumi,general
"It's not like people only look for help by saying ""please help me."" In similiar vein, it's not like you're only in love with someone if you say ""I love you."" Everyone has things they can't say on impulse.",Meme Oshino,love
"Pride is an eminent trait, but too much will cause arrogance. That is when it becomes disgusting.",Duke Tōgō,general
It's not like something is going to happen because I believe in it.  Sometimes you end up worse off because you believed in something too much. There are times it's tough to believe in something.,Eureka,resilience
"I intended to listen to your voice, but it really was nothing but intentions. It's pretty obvious, huh? Of course there's more going on than what people choose to tell you... But I convinced myself that was all there is to a person. I knew that, but still I interpreted the stuff I didn't understand about you in ways convenient for me... That's just how I am.",Shouya Ishida,wisdom
"Today might be the chance to grasp the chance to let your talent bloom. Maybe tomorrow, the day after, or next year... Maybe even when you're thirty. I'm not sure if physique has anything to do with it, but if you think that it will never come, it probably never will.",Tooru Oikawa,mindfulness
 but their own power results in their destruction. — Finite., have their own beginnings,general
Simplicity is the easiest path to true beauty.,Handa Seishū,general
"Stop pitying yourself. Pity yourself, and life becomes an endless nightmare.",Osamu Dazai,general
"For a pregnant woman to give birth, she's gotta feel the pain of pulling a watermelon out of her nostril. For an Artist to create a masterpiece, he's gotta feel the pain of pulling entire galaxies out  of his ass.",Gintoki Sakata,grief
You can only become friends by talking to people and finding out whether you get along.,Shougo Kiryuu,general
Anything I would never want to lose is always lost. It is a given that everything that is worth wanting will be lost the moment I obtain it. There's nothing worth pursuing at the cost of prolonging a life of suffering.,Osamu Dazai,grief
"The two of us aren't so different. My whole life I've desired from others. I felt bitter to the people around me and I closed off my heart...and a heart that lets nothing in..will become empty before you realize it. But in this world, you'll sometimes meet meddlesome people who will, even without asking, give you the love you need. And for someone like you or me, meeting such a person is very blissful.",Mei Aihara,grief
"You can become happy right now."" I won't say these types of absurd lies. However, if you get through these current hardships and survive - a time where you can be happy will come.",Shin Woo Baek,resilience
"It may be hard right now... But you must silence those thoughts! Stop counting only those things that you have lost! What is gone, is gone! So ask yourself this: What is there... that still remains to you?!",Jinbei,grief
A castle that vanishes at the first gust of wind is worthless. A skyscraper within your mind will never fall down.,Satsuki Kiryuuin,mindfulness
"What's important is not what's right, but what we believe is right.",Escha Malier,hope
"Unlike in manga and anime, in real life, no heroes can save you when you're down.",Minako Kanou,general
"Even if everyone in the whole world dies, I won't care, as long as my beloved survives.",Shinra Kishitani,love
I believe the difference between those up there and me is the question of whether you have given up or not.,Ja Wangnan,hope
"People don't kill people, really. Monsters do. Monsters like war, hungry nobles, and greedy kingdoms. And monsters like me, not you.",Ryner Lute,general
Our lives become a reality through the most meticulous calculations. Doing our best to continue living is a resolution ingrained in all of us. And this shapes the right future for us. You could say it is life’s greatest mystery. I want to observe the destination reached by the many lives that are created.,Akari,hope
This world offers no guarantees for the future.,Jun'ichi Hoshiyama,hope
It's times like this that I wish I could come up with an appropriate response.  I hate myself for not being able to reply properly.  ,Takashi Natsume,general
"Leaving my mother's body, for the first time I learned the chill of cold air and the warmth of human hands.",Kou Ichinomiya,wisdom
And the one person who I thought understood me was just using me all along. No one ever treated me as an equal. Adults are all trash. They didn't listen when I said that it hurt. They didn't listen when I told them to stop. They didn't listen to anything I said!,Chris Yukine,grief
"That’s just the way it is. Change is inevitable. Instead of resisting it, you’re better served simple going with the flow.",Kyouraku Shunsui,hope
"Man fears death and yet, at the same time, man is drawn to death. Death is endlessly consumed by men in cities and in literature. It is a singular event in one's life that none may reverse. That is what I desire.",Osamu Dazai,grief
"While it takes time to recover from the loss of a loved one, having an opportunity to take your mind off things helps too.",Yogi,grief
"The root of all your evil is in always relying on one of your other possibilities to get your wish. You must accept that you are the person here, now, and that you cannot become anyone else other than that person.",Higuchi Seitarou,general
"No matter how careful your risk hedging is, there will still be holes in your plan! Realizing them and making sure that they are promptly dealt with, is the duty of those who stand at the top.",Reiji Akaba,love
Smiles are what connect people! It allows them to communicate through their souls! Souls that are connected... Will never lose to power that only relies on control!,Yuzu Hiiragi,happiness
Your god is a fragment of your imagination from your weakness.,Twenty-Fifth Baam,general
"I have no idea what you really want, what you're really thinking, or what the right thing to do really is. But I'm your friend. Let me stay.",Takeo Gouda,mindfulness
"Anyway, here's my point. Trivial setbacks like yours and mine are nothing but common occurrences in everyday life! Getting hung up over pointless crap like that shows that you're a joke! A complete and utter joke!",Seiya Kanie,general
Remember that a sword held by someone who is about to die… will never be able to protect anything. ,Kuchiki Byakuya,general
"Life isn't about counting all the things you've lost, It's about increasing the number of important things in it.",Tsukamoto Tsukushi,grief
"Jojo, being human means having limits. I've learned something. The more carefully you scheme, the more unexpected events come along",Dio Brando,love
Do not live bowing down. You must die standing up. ,Shigekuni Yamamoto-Genryusai,general
Evil is when you use the weak for your own gain and crush them under your foot.,Jotaro Kujo,general
"Are you afraid? You don’t want to die, do you? Not just Abarai, if anyone… acts upon the thought of not wanting you to die, you will suddenly begin to fear your impending death, right? ",Ichimaru Gin,grief
Courage must know fear and make fear its own! Fear upsets breathing! Conquer fear and your breath will never fail you! Hamon breathing comes from courage! A good human is a brave human! Courage is a marvel of humanity!,William A. Zeppeli,anxiety
"A city far away from my homeland.  There, after becoming acquainted with strangers, have I changed, perhaps?  That uncontrollable impulse I harbored within me...Has it faded away now, I wonder? What exactly am I doing here in this city?",Vorona,general
"Each one of them has something to improve. Victory doesn't come from technique or power alone. In the end, what's needed is a heart that won't give up. The only question is -- Do they have what it takes to push beyond their limits?",Soujuu Matsushita,grief
Have a dream that you can achieve within your lifetime!,Ryou,motivation
Old techniques created by others will never be your own. Only what you create and experience for yourself can become your own.,Oubu,wisdom
"All the people I saw from my cage...All the things I saw from my cage, that was the whole world to me. At first, all I could sense was the hostility of the people looking at me from outside...And their feelings of fear. Piercing gazes, hurled stones, whips, sticks...Everything outside the cage was frightening, a source of pain...But eventually I began to realize something. I began to see their other emotions, not just their hostility and fear of me. They were the emotions of families, lovers, and friends who came to the sideshow...Emotions meant for each other.",Kuklo,grief
"Don’t hesitate to cut the enemy. Don’t falter to finish them off. Much less heal their wounds. That’s unspeakable, nino. Leave the chocolate here. Become a demon, nino. As strong as a demon. As wicked as a demon. You have to learn that the only way to stand up against ruthlessness, is to become ruthless yourself.",Dordonii Alessandro Del Socacchio,wisdom
I want everyone to feel safe again soon...I want this to be a world where people can without fighting each other.,Hange Zoe,general
Those three are best friends.  They have their respective secrets.  And they're deliberately trying not to give themselves away.  But neither Orihara or Shizuo had any secrets whatsoever.  And that resulted in the complete opposite kind of personal relationship.,Shinra Kishitani,love
"You are fighting out of obligation, not out of hatred. You will never reach me like that. Battle without hatred is like a bird without wings. You’ll never defeat anyone like that. You powerless friends are just weights that will break your legs. ",Aizen Sousuke,general
"You see, I really hate the word ""responsibility"" saying something or doing something ""it's your responsibility"" ""take responsibility"" making a ""selection"" always comes with ""responsibility."" That's why I abandoned ""selection"" therefore, I don't have to bear any responsibility anymore. ",Kuruwa Kimiharu,general
You cannot go into battle believing you will lose.,Akisame Koetsuji,general
"I'll give you some wise words, Shining Sleepless General. All heroes die of overwork.",Ikta Solork,motivation
Don’t be so stuck-up. Just enjoy this! Killing and being killed. They are just a way to pass time. ,Zaraki Kenpachi,happiness
"Sometimes things go badly, even if nobody really did anything wrong.",Kouhei Inuzuma,general
